0,1,2
5,2025-07-17,장마 롯데월드 눈치게임 좋았습니다
5,2025-07-09,어린이+성인 표 잘 사용하고왔습니다.
5,2025-07-07,주차 편리하고 눈치 게임 성공해서 나름 별로 안 기다리고 남자친구랑 너무 좋은 시간 보냈습니다🥰
3,2025-07-07,자녀와 대중교통으로 다녀오기 좋아요
5,2025-07-05,큐알코드 보여주면 바로 입장 가능해서 좋았습니다:)
5,2025-07-04,바로 사용 완전 편해요
5,2025-07-03,"롯데월드는 가족과 자주 방문합니다.
항상 즐겁게 보내요."
4,2025-07-01,입장 바로 가능하고 할인된 가격으로 이용할 수 있음
5,2025-07-01,쾌적하고 유쾌하고 즐거운 시간이었습니다.
5,2025-07-01,좋았어요 다음에 또갈게요
5,2025-06-30,아이와 즐거운 시간이었습니다.
5,2025-06-22,.
5,2025-06-21,입장이 큐알코드라서 너무 쉽게 편하게 입장 할 수 있어요^^ 감사 땡큐 합니다!!
5,2025-06-21,아이들이랑 좋은시간 보냈습니다
5,2025-06-14,당일 사용이 가능해서 편리해여
5,2025-06-12,재밌게 놀고왔어요 많이
5,2025-06-12,"당일 예약해서 빠르게 다녀왔어요
평일 오후 사람도 없고 한산해서 좋네요"
5,2025-06-04,좋아요 좋아요 좋아요 좋아요
5,2025-06-03,"방문하기 편리했고
qr찍고 바로 입장 가능했어요
평일에 가서 재미있게 잘 놀다 왔네요!"
5,2025-06-03,너무 재밌게 놀았음 ㅎ
5,2025-06-02,2인권 가성비 있게 구매해서 좋았어요
5,2025-06-02,매표소보다 훨씬 저렴한데 바로 입장 가능해서 좋았어요
5,2025-06-02,너무 좋게 싸게갔어요 ㅋㅋ 다음에 어디가게되면 또이용할게요 감사합니다^^
5,2025-06-01,좋은 경험이었습니다.
5,2025-06-01,큐앙로 바로 입장할 수 있어서 편리해요
5,2025-05-30,설명 그대로입니다. 만족해요
5,2025-05-26,너무 편하게 쉽게 입장했어요
5,2025-05-25,"제휴 카드가 없을시, 저렴하게 구입하여 놀다 왔네요. 좋아요"
5,2025-05-25,포켓몬스터 특집 잘 꾸며져있고 볼거리 많고 즐길거리 많음
5,2025-05-22,익스트림을 좋아한다면 후렌치 레볼루션을 놓치지 마세요~
5,2025-05-22,잘다녀왔습니다 감사합니다
5,2025-05-21,롯데월드 자유이용권은 마이리얼트리입!
4,2025-05-20,잼있었어요 아기 생일이라 갔는데 바로 입장이라 편했어요😀
5,2025-05-19,아이랑 놀기에 좋았어요 대기도 길지 않았어요
5,2025-05-19,좋은 가격에 재미있게 즐겼습니다!
5,2025-05-18,즐거운 하루 보냈어요
