rating,content,date,filter_index
5,정말 좋아요! 하지만 줄이 엄청 길기 때문에 오픈하자마자 바로 가세요! 여유가 되시면 매직 패스를 구매하세요!,2025.07.08,0
5,"롯데월드는 다양한 음식과 놀이기구, 경치를 갖춘 가족 친화적인 테마파크였습니다.",2025.06.03,0
5,평일에 패스트패스 샀는데 진짜 괜찮아요!!! 놀이공원이 스릴 넘치네요,2025.06.02,0
5,"귀여운 테마파크 - 글을 쓰는 시점에, 이벤트로 포켓몬을 테마로 했고, 귀여운 사진 촬영이 많았어요. 교복을 빌리는 건 재밌었어요! 5시간 동안 3개의 놀이기구를 탈 수 있었고, 줄이 꽤 길었어요. 모든 것을 타고 싶다면 매직 패스를 사는 걸 추천해요. 하지만 매직 패스 없이도 바이브는 여전히 엄청 귀여웠어요",2025.03.31,0
5,"부산에서 당일치기 여행을 하는 사이에 시간이 있다면, 롯데월드 어드벤처 부산은 특히 아드레날린 중독자들에게 시간을 보내기에 좋은 방법입니다! 테마파크는 결코 실망시키지 않습니다. 특히 한국의 테마파크는요! 롯데월드 어드벤처 부산은 면적이 서울보다 넓지만 놀이기구는 적습니다(17). 그래서 비행기나 기차 사이에 무언가 만족스러운 것을 필요로 하는 사람들에게 매우 적합합니다.",2024.08.12,0
5,서울에서 제가 가진 최고의 경험 중 하나였습니다. 할 것도 먹을 것도 정말 많아요! 티켓도 비싸지 않으니 서울에 있는 동안 꼭 방문해보세요!,2024.08.11,0
5,"서울에서 꼭 가봐야 할 명소 - 롯데월드 😍 놀이공원 좋아하세요? 정말 재밌어요! 그래서 저는 롯데월드 공원을 탐험하기로 했고 여러분과 정보를 공유하고 싶어요. 매우 인기 있는 곳이기 때문에 공원이 문을 여는 오전 10시에 오는 것을 권합니다. 11-12시까지는 사람이 많지 않고 사람이 많지 않은 놀이기구를 즐길 수 있어요 💗 공원은 실내와 실외로 나뉘는데, 가장 스릴 넘치는 놀이기구는 실외에 있어요 😍 그리고 귀여운 사진을 찍을 수 있는 아름다운 성도 있어요. 놀이공원 안에는 다양한 길거리 음식과 음료가 있으니 주저하지 말고 맛보세요! 이름: 롯데월드/ 롯데월드 주소: 서울 송파구 잠실동 40-1 / 서울 송파구 올림픽로 240 잠실 지하철역 4번 또는 3번 출구.",2024.07.29,0
5,서울 최대의 테마파크 목적지 중 하나로 실내 롯데월드 어드벤처와 야외 매직 아일랜드가 통합되어 있습니다. 스릴 넘치는 놀이기구와 엔터테인먼트로 가득합니다.,2024.02.20,0
5,"로또 월드 어드벤처는 멋진 명소와 모험으로 가득한 훌륭한 공원입니다. 물론, 내년에도 다시 올 것입니다.",2025.01.17,0
5,저는 조카들과 함께 이곳에 왔습니다. 그들은 이곳을 정말 좋아했습니다. 이곳은 60%~70%의 사람들이 유니폼을 입고 있는 곳입니다. 여기서 독특한 경험을 할 수 있을 겁니다. 하하. 하지만 놀이기구를 타려면 너무 많은 시간이 걸릴 겁니다. 우리는 놀이기구가 없거든요. 우리는 그저 말 그대로 분위기를 경험하고 싶을 뿐입니다.,2024.09.28,0
5,"놀 거리가 많아서, 괜찮다면 긴 시간 줄을 서야 할 수도 있습니다. 봄에 갔는데, 롯데월드를 따라가는 길에 많은 벚꽃나무가 있었습니다. 벚꽃이 정말 아름다웠습니다. 아름다운 풍경을 바라보며 산책을 즐겼습니다.",2024.07.29,0
5,정말 놀라운 경험이었습니다. 할 일이 정말 많아요. 여기 티켓은 DSP(Discover Seoul pass) 카드에 포함되어 있어서 💰을 지불할 필요가 없지만 청구하려면 다른 게이트를 사용해야 합니다. DSP 소지자는 Wild Gate에서 청구할 수 있습니다. 주소: 서울특별시 송파구 올림픽로 240 추천 이유: 모두에게 좋음,2024.08.26,0
5,Lotte World Adventure에서 환상적인 하루를 보냈습니다! 🎢🏰 실내 및 실외 테마파크에는 재미있는 놀이기구와 명소가 가득합니다. 퍼레이드와 쇼가 마법 같은 느낌을 더합니다. 서울에서 가족과 함께 하루를 보내기에 완벽합니다! 🌟🎠,2024.07.31,0
5,"밤이 끝날 무렵 퍼레이드를 구경하세요! 놀이기구는 재미있고 대기 시간도 그렇게 길지 않습니다. 안팎으로 놀이기구가 있고, 먹을 곳도 있습니다.",2024.03.07,0
5,"가족이나 친구와 함께 하루를 보내기에 좋은 곳으로, 모든 연령대를 위한 실내 및 실외 어트랙션이 있으며 매 시간마다 쇼가 펼쳐집니다. 패스트 패스가 없다면 놀이기구를 타려면 약 30분 줄을 설 준비를 하세요.",2024.11.23,0
4,"lotte world 안에는 많은 게임이 있습니다. 2개 구역: 건물 내부와 건물 외부(롤러코스터, 우주선과 같은 익스트림 게임). 패키지에는 lottle aquarium도 있습니다. 제 아이들은 수족관을 너무 좋아했습니다.",2024.02.26,0
5,"여러분!!! 서울 가족 여행 중 롯데월드 방문은 정말 최고의 순간 중 하나였어요. 이 테마파크는 누구에게나 특별한 경험을 선사하기 때문에 모든 연령대의 아이를 둔 가족에게 완벽한 여행지예요. 도착하는 순간부터 파크의 엄청난 규모에 감탄했어요. 실내 ""어드벤처""와 야외 ""매직 아일랜드"" 두 구역으로 나뉘는데, 실내 구역은 비 오는 날에도 신나는 놀이기구, 매력적인 쇼, 그리고 축제 분위기로 가득해요.",2024.08.27,0
5,"롯데월드 어드벤처는 대한민국 서울에 위치한 대형 테마파크입니다. 실내 테마파크, 쇼핑몰, 고급 호텔 등을 갖춘 더 큰 규모의 롯데월드 단지에 속해 있습니다.",2024.08.16,0
